,gas,mol weight,sigma,eps/k,Tc,pc,Vc,muc,kc,formula,name,A,B,C,D,E,Tmin,Tmax,phase
0,H2,2.016,2.915,38.0,33.3,12.8,65.0,34.7,,H2,Hydrogen,3.2489999999999997,0.42200000000000004,0.0,0.083,0.0,298,3000,g
1,N2,28.013,3.667,99.8,126.2,33.5,90.1,180.0,86.8,N2,Nitrogen,3.28,0.593,0.0,0.04,0.0,298,2000,g
2,O2,31.999000000000002,3.4330000000000003,113.0,154.4,49.7,74.4,250.0,105.3,O2,Oxygen,3.639,0.506,0.0,-0.22699999999999998,0.0,298,2000,g
3,CO,28.01,3.59,110.0,132.9,34.5,93.1,190.0,86.5,CO,Carbon monoxide,3.3760000000000003,0.557,0.0,-0.031,0.0,298,2500,g
4,CO2,44.01,3.9960000000000004,190.0,304.2,72.8,94.1,343.0,122.0,CO2,Carbon dioxide,5.457000000000001,1.045,0.0,-1.157,0.0,298,2000,g
5,NO,30.006,3.47,119.0,180.0,64.0,57.0,258.0,118.2,NO,Nitric oxide,3.387,0.629,0.0,0.013999999999999999,0.0,298,2000,g
6,N2O,44.012,3.8789999999999996,220.0,309.7,71.7,96.3,332.0,131.0,N2O,Nitrous oxide,5.327999999999999,1.24,0.0,-0.9279999999999999,0.0,298,2000,g
7,SO2,64.065,4.026,363.0,430.7,77.8,122.0,411.0,98.6,SO2,Sulfur dioxide,5.699,0.8009999999999999,0.0,-1.015,0.0,298,2000,g
8,Cl2,70.905,4.115,357.0,417.0,76.1,124.0,420.0,97.0,Cl2,Chlorine,4.442,0.08900000000000001,0.0,-0.344,0.0,298,3000,g
9,Br2,159.808,4.268,520.0,584.0,102.0,144.0,,,Br2,Bromine,4.493,0.055999999999999994,0.0,-0.154,0.0,298,3000,g
10,CH4,16.04,3.78,154.0,191.1,45.8,98.7,159.0,158.0,CH4,Methane,1.702,9.081,-2.164,0.0,0.0,298,1500,g
11,CH4,16.04,3.78,154.0,191.1,45.8,98.7,159.0,158.0,CH4,Methane,1.702,9.081,-2.164,0.0,0.0,298,1500,g
12,C2H6,30.07,4.388,232.0,305.4,48.2,148.0,210.0,203.0,C2H6,Ethane,1.131,19.225,-5.561,0.0,0.0,298,1500,g
13,C3H8,44.1,4.934,273.0,369.8,41.9,200.0,228.0,,C3H8,Propane,1.213,28.785,-8.824,0.0,0.0,298,1500,g
14,CS2,76.143,4.4830000000000005,467.0,552.0,78.0,170.0,404.0,,CS2,Carbon disulfide,6.311,0.805,0.0,-0.9059999999999999,0.0,298,1800,g
